Tarih,Bölge,Ürün Kategorisi,Ürün Adı,Birim Fiyat (TL),Satış Miktarı,Toplam Tutar (TL),Müşteri Segmenti,Ödeme Yöntemi,Müşteri Yaşı,Cinsiyet,Sipariş Durumu,Müşteri Memnuniyeti,İndirim Oranı
2024-01-01,Trabzon,Kitap & Kırtasiye,Defter,136.07,1,136.07,Bireysel,Kredi Kartı,36.0,Kadın,Tamamlandı,3.4,0.0
2024-01-01,İstanbul,Gıda,Zeytinyağı,395.11,1,395.11,Kurumsal,Kredi Kartı,18.0,Kadın,Tamamlandı,3.9,0.0
2024-01-01,Samsun,Gıda,Zeytinyağı,139.83,2,279.66,Kurumsal,Kredi Kartı,37.0,Erkek,Tamamlandı,3.0,0.1
2024-01-01,İzmir,Elektronik,Kulaklık,16755.51,6,100533.06,Bireysel,Havale/EFT,30.0,Erkek,İptal Edildi,3.6,0.0
2024-01-02,Konya,Giyim,Elbise,114.36,2,228.72,Kurumsal,Havale/EFT,38.0,Erkek,Tamamlandı,4.0,0.0
2024-01-02,Ankara,Gıda,Zeytinyağı,82.83,4,331.32,Kurumsal,Kredi Kartı,50.0,Kadın,İade Edildi,5.0,0.17
2024-01-02,Ankara,Spor,Dambıl Seti,519.7,7,3637.9,Kurumsal,Banka Kartı,18.0,Erkek,Tamamlandı,4.2,0.0
2024-01-03,İzmir,Spor,Koşu Ayakkabısı,391.75,2,783.5,Kurumsal,Kredi Kartı,34.0,Kadın,Tamamlandı,4.9,0.0
2024-01-03,Trabzon,Elektronik,Akıllı Telefon,7878.8,3,23636.4,Kurumsal,Kredi Kartı,39.0,Kadın,Tamamlandı,4.5,0.0
2024-01-04,Samsun,Kozmetik,Güneş Kremi,242.42,5,1212.1,Bireysel,Banka Kartı,22.0,Kadın,Tamamlandı,3.2,0.0
2024-01-04,Adana,Elektronik,Akıllı Telefon,9577.04,2,19154.08,Bireysel,Kredi Kartı,35.0,Erkek,Beklemede,4.2,0.06
2024-01-05,İstanbul,Kozmetik,Nemlendirici Krem,476.46,1,476.46,Bireysel,Havale/EFT,21.0,Kadın,Tamamlandı,4.3,0.0
2024-01-05,Bursa,Giyim,Pantolon,1254.35,9,11289.15,Kurumsal,Kredi Kartı,42.0,Kadın,Tamamlandı,3.2,0.0
2024-01-05,Antalya,Gıda,Zeytinyağı,100.21,3,300.63,Premium,Kredi Kartı,59.0,Erkek,İptal Edildi,4.2,0.0
2024-01-05,İzmir,Kozmetik,Güneş Kremi,837.81,2,1675.62,Bireysel,Kredi Kartı,37.0,Erkek,Tamamlandı,3.1,0.07
2024-01-05,Ankara,Ev & Yaşam,Yastık,1476.93,7,10338.51,Bireysel,Kredi Kartı,37.0,Erkek,Tamamlandı,3.1,0.0
2024-01-06,İstanbul,Elektronik,Akıllı Saat,10060.84,2,20121.68,Kurumsal,Banka Kartı,59.0,Erkek,Beklemede,4.7,0.17
2024-01-07,Samsun,Kitap & Kırtasiye,Roman,59.11,1,59.11,Premium,Banka Kartı,44.0,Erkek,Tamamlandı,2.6,0.2
2024-01-07,Ankara,Giyim,Elbise,2116.71,5,10583.55,Premium,Kredi Kartı,49.0,Kadın,Tamamlandı,4.2,0.12
2024-01-08,Antalya,Kozmetik,Nemlendirici Krem,580.99,2,1161.98,Bireysel,Banka Kartı,18.0,Erkek,İade Edildi,4.6,0.0
2024-01-08,Ankara,Ev & Yaşam,Dekoratif Vazo,1221.06,2,2442.12,Bireysel,Kapıda Ödeme,29.0,Erkek,İade Edildi,2.7,0.0
2024-01-08,Ankara,Elektronik,Akıllı Saat,5422.33,1,5422.33,Kurumsal,Kapıda Ödeme,50.0,Kadın,Tamamlandı,3.8,0.0
2024-01-09,İzmir,Ev & Yaşam,Yastık,1307.17,2,2614.34,Bireysel,Kredi Kartı,33.0,Erkek,Tamamlandı,4.1,0.07
2024-01-09,İzmir,Giyim,Elbise,1557.11,2,3114.22,Bireysel,Banka Kartı,39.0,Kadın,Tamamlandı,3.7,0.13
2024-01-10,Bursa,Spor,Yoga Matı,346.29,2,692.58,Bireysel,Kredi Kartı,31.0,Kadın,İptal Edildi,3.2,0.07
2024-01-10,İstanbul,Elektronik,Tablet,12828.9,1,12828.9,Bireysel,Banka Kartı,37.0,Erkek,İade Edildi,3.5,0.0
2024-01-11,İstanbul,Elektronik,Akıllı Telefon,20776.45,2,41552.9,Bireysel,Banka Kartı,25.0,Kadın,İptal Edildi,5.0,0.0
2024-01-11,İstanbul,Ev & Yaşam,Dekoratif Vazo,1236.62,1,1236.62,Bireysel,Kredi Kartı,35.0,Kadın,Tamamlandı,3.8,0.0
2024-01-12,Bursa,Spor,Koşu Ayakkabısı,2698.75,2,5397.5,Kurumsal,Kredi Kartı,29.0,Kadın,Tamamlandı,4.0,0.0
2024-01-12,Samsun,Kozmetik,Ruj,347.6,4,1390.4,Premium,Banka Kartı,38.0,Erkek,İptal Edildi,3.0,0.28
2024-01-12,Trabzon,Giyim,Ayakkabı,1423.82,1,1423.82,Bireysel,Banka Kartı,33.0,Erkek,İade Edildi,4.4,0.0
2024-01-13,Konya,Kozmetik,Ruj,1116.91,4,4467.64,Bireysel,Havale/EFT,39.0,Erkek,Tamamlandı,3.5,0.24
2024-01-14,Bursa,Kitap & Kırtasiye,Boyama Kitabı,105.19,1,105.19,Kurumsal,Kapıda Ödeme,33.0,Kadın,Tamamlandı,4.9,0.0
2024-01-15,İzmir,Kozmetik,Güneş Kremi,450.03,2,900.06,Kurumsal,Kredi Kartı,50.0,Erkek,İptal Edildi,2.8,0.0
2024-01-15,Ankara,Giyim,Tişört,2001.51,2,4003.02,Bireysel,Kredi Kartı,21.0,Kadın,Tamamlandı,2.6,0.0
2024-01-15,Ankara,Giyim,Ayakkabı,1207.06,1,1207.06,Kurumsal,Kredi Kartı,37.0,Erkek,Tamamlandı,4.7,0.0
2024-01-15,İstanbul,Elektronik,Dizüstü Bilgisayar,5153.4,3,15460.2,Premium,Kapıda Ödeme,34.0,Erkek,Tamamlandı,5.0,0.0
2024-01-15,İzmir,Elektronik,Dizüstü Bilgisayar,24670.95,3,74012.85,Bireysel,Kredi Kartı,39.0,Kadın,Tamamlandı,3.8,0.12
2024-01-16,Bursa,Gıda,Bal,298.47,1,298.47,Kurumsal,Kredi Kartı,25.0,Kadın,Beklemede,2.3,0.12
2024-01-16,Adana,Elektronik,Kulaklık,4691.61,4,18766.44,Bireysel,Kredi Kartı,25.0,Erkek,Tamamlandı,3.4,0.0
2024-01-16,Konya,Ev & Yaşam,Dekoratif Vazo,438.6,2,877.2,Bireysel,Kredi Kartı,28.0,Erkek,Tamamlandı,5.0,0.0
2024-01-17,İzmir,Spor,Koşu Ayakkabısı,1189.02,3,3567.06,Kurumsal,Kredi Kartı,18.0,Erkek,Tamamlandı,3.5,0.0
2024-01-17,Ankara,Kozmetik,Parfüm,678.66,3,2035.98,Bireysel,Kredi Kartı,50.0,Kadın,Tamamlandı,2.3,0.22
2024-01-17,İstanbul,Elektronik,Dizüstü Bilgisayar,6364.56,4,25458.24,Bireysel,Havale/EFT,36.0,Kadın,Tamamlandı,4.6,0.0
2024-01-17,İzmir,Ev & Yaşam,Mum,240.98,3,722.94,Bireysel,Kapıda Ödeme,37.0,Erkek,Tamamlandı,4.2,0.1
2024-01-18,Adana,Spor,Pilates Bandı,1890.37,3,5671.11,Kurumsal,Kapıda Ödeme,26.0,Erkek,Tamamlandı,3.5,0.0
2024-01-18,Adana,Ev & Yaşam,Nevresim Takımı,556.94,1,556.94,Bireysel,Kredi Kartı,47.0,Erkek,Tamamlandı,4.7,0.0
2024-01-19,Ankara,Spor,Yoga Matı,1268.17,1,1268.17,Kurumsal,Banka Kartı,18.0,Kadın,İptal Edildi,5.0,0.26
2024-01-19,Antalya,Kitap & Kırtasiye,Ajanda,152.51,1,152.51,Bireysel,Banka Kartı,57.0,Kadın,İade Edildi,3.4,0.0
2024-01-20,İstanbul,Giyim,Ayakkabı,216.04,1,216.04,Bireysel,Banka Kartı,36.0,Kadın,Tamamlandı,3.0,0.0
2024-01-21,İstanbul,Giyim,Elbise,1194.06,4,4776.24,Kurumsal,Banka Kartı,33.0,Kadın,Beklemede,4.6,0.0
2024-01-21,İstanbul,Giyim,Ayakkabı,1480.07,5,7400.35,Kurumsal,Havale/EFT,47.0,Kadın,Tamamlandı,4.6,0.22
2024-01-22,Samsun,Elektronik,Dizüstü Bilgisayar,10035.61,2,20071.22,Bireysel,Banka Kartı,61.0,Erkek,Tamamlandı,3.7,0.0
2024-01-22,İstanbul,Ev & Yaşam,Yastık,1039.64,1,1039.64,Bireysel,Havale/EFT,27.0,Erkek,Tamamlandı,3.7,0.0
2024-01-23,Gaziantep,Kozmetik,Nemlendirici Krem,73.99,3,221.97,Kurumsal,Banka Kartı,50.0,Erkek,Tamamlandı,3.1,0.22
2024-01-23,Ankara,Elektronik,Kulaklık,1182.11,2,2364.22,Kurumsal,Kredi Kartı,19.0,Erkek,Tamamlandı,3.1,0.08
2024-01-23,Konya,Elektronik,Kulaklık,2931.32,4,11725.28,Bireysel,Banka Kartı,,Erkek,Tamamlandı,3.2,0.0
2024-01-23,Konya,Giyim,Tişört,1139.39,4,4557.56,Bireysel,Kapıda Ödeme,,Erkek,Beklemede,5.0,0.0
2024-01-25,Bursa,Giyim,Ayakkabı,1464.93,8,11719.44,Kurumsal,Kredi Kartı,23.0,Erkek,Tamamlandı,4.5,0.0
2024-01-25,Gaziantep,Ev & Yaşam,Mum,1098.12,6,6588.72,Bireysel,Kredi Kartı,46.0,Erkek,Tamamlandı,3.9,0.0
